"rt","url","trial_type","trial_index","trial_index_global","time_elapsed","internal_chunk_id","condition","turkCode","timeStamp","experiment","foil","stimulus_pos","completed","responses","key_press","stimulus","trial_cond","correct"
"3494","consent.html","html","0","0","3500","0-0","0","RSU3","Mon, 09 Nov 2015 05:08:13 GMT","1 - special_foils","0","0","true","","","","",""
"1670","","survey-text","0","1","6178","0-0","0","RSU3","Mon, 09 Nov 2015 05:08:13 GMT","1 - special_foils","0","0","true","{""Q0"":"""",""Q1"":"""",""Q2"":""""}","","","",""
"1230","","text","0","2","8415","0-0","0","RSU3","Mon, 09 Nov 2015 05:08:13 GMT","1 - special_foils","0","0","true","","39","","",""
"504","","text","0","3","9925","0-0","0","RSU3","Mon, 09 Nov 2015 05:08:13 GMT","1 - special_foils","0","0","true","","32","","",""
"-1","","single-stim","0","4","11433","0-0","0","RSU3","Mon, 09 Nov 2015 05:08:13 GMT","1 - special_foils","0","0","true","","-1","mineral","1",""
"-1","","single-stim","1","5","12190","0-0","0","RSU3","Mon, 09 Nov 2015 05:08:13 GMT","1 - special_foils","0","0","true","","-1","ivory","1",""
"-1","","single-stim","2","6","12948","0-0","0","RSU3","Mon, 09 Nov 2015 05:08:13 GMT","1 - special_foils","0","0","true","","-1","bench","1",""
"-1","","single-stim","3","7","13703","0-0","0","RSU3","Mon, 09 Nov 2015 05:08:13 GMT","1 - special_foils","0","0","true","","-1","sponge","1",""
"-1","","single-stim","4","8","14458","0-0","0","RSU3","Mon, 09 Nov 2015 05:08:13 GMT","1 - special_foils","0","0","true","","-1","crew","1",""
"-1","","single-stim","5","9","15215","0-0","0","RSU3","Mon, 09 Nov 2015 05:08:13 GMT","1 - special_foils","0","0","true","","-1","hammer","1",""
"-1","","single-stim","6","10","15971","0-0","0","RSU3","Mon, 09 Nov 2015 05:08:13 GMT","1 - special_foils","0","0","true","","-1","chisel","1",""
"-1","","single-stim","7","11","16727","0-0","0","RSU3","Mon, 09 Nov 2015 05:08:13 GMT","1 - special_foils","0","0","true","","-1","cement","1",""
"-1","","single-stim","8","12","17487","0-0","0","RSU3","Mon, 09 Nov 2015 05:08:13 GMT","1 - special_foils","0","0","true","","-1","jewel","1",""
"-1","","single-stim","9","13","18246","0-0","0","RSU3","Mon, 09 Nov 2015 05:08:13 GMT","1 - special_foils","0","0","true","","-1","oven","1",""
"650","","text","0","14","19149","0-0","0","RSU3","Mon, 09 Nov 2015 05:08:13 GMT","1 - special_foils","0","0","true","","39","","",""
"-1","","single-stim","0","15","20659","0-0","0","RSU3","Mon, 09 Nov 2015 05:08:13 GMT","1 - special_foils","0","0","true","","-1","4","",""
"-1","","single-stim","1","16","21420","0-0","0","RSU3","Mon, 09 Nov 2015 05:08:13 GMT","1 - special_foils","0","0","true","","-1","4","",""
"-1","","single-stim","2","17","22181","0-0","0","RSU3","Mon, 09 Nov 2015 05:08:13 GMT","1 - special_foils","0","0","true","","-1","6","",""
"-1","","single-stim","3","18","22936","0-0","0","RSU3","Mon, 09 Nov 2015 05:08:13 GMT","1 - special_foils","0","0","true","","-1","6","",""
"-1","","single-stim","4","19","23698","0-0","0","RSU3","Mon, 09 Nov 2015 05:08:13 GMT","1 - special_foils","0","0","true","","-1","7","",""
"-1","","single-stim","5","20","24455","0-0","0","RSU3","Mon, 09 Nov 2015 05:08:13 GMT","1 - special_foils","0","0","true","","-1","3","",""
"-1","","single-stim","6","21","25214","0-0","0","RSU3","Mon, 09 Nov 2015 05:08:13 GMT","1 - special_foils","0","0","true","","-1","7","",""
"2265","","survey-text","0","22","27731","0-0","0","RSU3","Mon, 09 Nov 2015 05:08:13 GMT","1 - special_foils","0","0","true","{""Q0"":""""}","","","",""
"1619","","text","0","23","30357","0-0","0","RSU3","Mon, 09 Nov 2015 05:08:13 GMT","1 - special_foils","0","0","true","","39","","",""
"645","","text","0","24","32005","0-0","0","RSU3","Mon, 09 Nov 2015 05:08:13 GMT","1 - special_foils","0","0","true","","39","","",""
"1481","","single-stim","0","25","34492","0-0","0","RSU3","Mon, 09 Nov 2015 05:08:13 GMT","1 - special_foils","0","0","true","","80","jewel","1",""
"368","","single-stim","1","26","35117","0-0","0","RSU3","Mon, 09 Nov 2015 05:08:13 GMT","1 - special_foils","0","0","true","","80","coach","2",""
"279","","single-stim","2","27","35653","0-0","0","RSU3","Mon, 09 Nov 2015 05:08:13 GMT","1 - special_foils","0","0","true","","80","maiden","2",""
"231","","single-stim","3","28","36140","0-0","0","RSU3","Mon, 09 Nov 2015 05:08:13 GMT","1 - special_foils","0","0","true","","80","sail","2",""
"231","","single-stim","4","29","36628","0-0","0","RSU3","Mon, 09 Nov 2015 05:08:13 GMT","1 - special_foils","0","0","true","","80","sponge","1",""
"251","","single-stim","5","30","37132","0-0","0","RSU3","Mon, 09 Nov 2015 05:08:13 GMT","1 - special_foils","0","0","true","","80","cement","1",""
"207","","single-stim","6","31","37596","0-0","0","RSU3","Mon, 09 Nov 2015 05:08:13 GMT","1 - special_foils","0","0","true","","80","cafe","2",""
"235","","single-stim","7","32","38085","0-0","0","RSU3","Mon, 09 Nov 2015 05:08:13 GMT","1 - special_foils","0","0","true","","80","pipe","2",""
"207","","single-stim","8","33","38548","0-0","0","RSU3","Mon, 09 Nov 2015 05:08:13 GMT","1 - special_foils","0","0","true","","80","hammer","1",""
"247","","single-stim","9","34","39052","0-0","0","RSU3","Mon, 09 Nov 2015 05:08:13 GMT","1 - special_foils","0","0","true","","80","oven","1",""
"231","","single-stim","10","35","39541","0-0","0","RSU3","Mon, 09 Nov 2015 05:08:13 GMT","1 - special_foils","0","0","true","","80","beef","2",""
"236","","single-stim","11","36","40028","0-0","0","RSU3","Mon, 09 Nov 2015 05:08:13 GMT","1 - special_foils","0","0","true","","80","mineral","1",""
"211","","single-stim","12","37","40492","0-0","0","RSU3","Mon, 09 Nov 2015 05:08:13 GMT","1 - special_foils","0","0","true","","80","cord","2",""
"224","","single-stim","13","38","40972","0-0","0","RSU3","Mon, 09 Nov 2015 05:08:13 GMT","1 - special_foils","0","0","true","","80","vein","2",""
"193","","single-stim","14","39","41420","0-0","0","RSU3","Mon, 09 Nov 2015 05:08:13 GMT","1 - special_foils","0","0","true","","80","lobby","2",""
"228","","single-stim","15","40","41900","0-0","0","RSU3","Mon, 09 Nov 2015 05:08:13 GMT","1 - special_foils","0","0","true","","80","ivory","1",""
"183","","single-stim","16","41","42340","0-0","0","RSU3","Mon, 09 Nov 2015 05:08:13 GMT","1 - special_foils","0","0","true","","80","chisel","1",""
"208","","single-stim","17","42","42804","0-0","0","RSU3","Mon, 09 Nov 2015 05:08:13 GMT","1 - special_foils","0","0","true","","80","brush","2",""
"200","","single-stim","18","43","43260","0-0","0","RSU3","Mon, 09 Nov 2015 05:08:13 GMT","1 - special_foils","0","0","true","","80","crew","1",""
"210","","single-stim","19","44","43724","0-0","0","RSU3","Mon, 09 Nov 2015 05:08:13 GMT","1 - special_foils","0","0","true","","80","bench","1",""
"1224","","text","0","45","45204","0-0","0","RSU3","Mon, 09 Nov 2015 05:08:13 GMT","1 - special_foils","0","0","true","","39","","",""
"-1","","single-stim","0","46","46714","0-0","0","RSU3","Mon, 09 Nov 2015 05:08:13 GMT","1 - special_foils","0","0","true","","-1","4","",""
"-1","","single-stim","1","47","47473","0-0","0","RSU3","Mon, 09 Nov 2015 05:08:13 GMT","1 - special_foils","0","0","true","","-1","5","",""
"-1","","single-stim","2","48","48235","0-0","0","RSU3","Mon, 09 Nov 2015 05:08:13 GMT","1 - special_foils","0","0","true","","-1","4","",""
"-1","","single-stim","3","49","48992","0-0","0","RSU3","Mon, 09 Nov 2015 05:08:13 GMT","1 - special_foils","0","0","true","","-1","2","",""
"-1","","single-stim","4","50","49752","0-0","0","RSU3","Mon, 09 Nov 2015 05:08:13 GMT","1 - special_foils","0","0","true","","-1","5","",""
"-1","","single-stim","5","51","50507","0-0","0","RSU3","Mon, 09 Nov 2015 05:08:13 GMT","1 - special_foils","0","0","true","","-1","9","",""
"-1","","single-stim","6","52","51264","0-0","0","RSU3","Mon, 09 Nov 2015 05:08:13 GMT","1 - special_foils","0","0","true","","-1","8","",""
"2111","","survey-text","0","53","53628","0-0","0","RSU3","Mon, 09 Nov 2015 05:08:13 GMT","1 - special_foils","0","0","true","{""Q0"":""""}","","","",""
"1314","","text","0","54","55948","0-0","0","RSU3","Mon, 09 Nov 2015 05:08:13 GMT","1 - special_foils","0","0","true","","39","","",""
"786","","text","0","55","57740","0-0","0","RSU3","Mon, 09 Nov 2015 05:08:13 GMT","1 - special_foils","0","0","true","","39","","",""
"305","","2afc","0","56","59052","0-0","0","RSU3","Mon, 09 Nov 2015 05:08:13 GMT","1 - special_foils","0","0","true","","80","mineral","2","0"
"285","","2afc","1","57","60339","0-0","0","RSU3","Mon, 09 Nov 2015 05:08:13 GMT","1 - special_foils","0","0","true","","80","crew","2","1"
"201","","2afc","2","58","61547","0-0","0","RSU3","Mon, 09 Nov 2015 05:08:13 GMT","1 - special_foils","0","0","true","","80","cement","2","0"
"222","","2afc","3","59","62771","0-0","0","RSU3","Mon, 09 Nov 2015 05:08:13 GMT","1 - special_foils","0","0","true","","80","chisel","3","1"
"277","","2afc","4","60","64051","0-0","0","RSU3","Mon, 09 Nov 2015 05:08:13 GMT","1 - special_foils","0","0","true","","80","sponge","3","0"
"154","","2afc","5","61","65211","0-0","0","RSU3","Mon, 09 Nov 2015 05:08:13 GMT","1 - special_foils","0","0","true","","80","oven","3","1"
"165","","2afc","6","62","66379","0-0","0","RSU3","Mon, 09 Nov 2015 05:08:13 GMT","1 - special_foils","0","0","true","","80","bench","2","0"
"214","","2afc","7","63","67595","0-0","0","RSU3","Mon, 09 Nov 2015 05:08:13 GMT","1 - special_foils","0","0","true","","80","hammer","3","0"
"166","","2afc","8","64","68763","0-0","0","RSU3","Mon, 09 Nov 2015 05:08:13 GMT","1 - special_foils","0","0","true","","80","ivory","3","1"
"114","","2afc","9","65","69883","0-0","0","RSU3","Mon, 09 Nov 2015 05:08:13 GMT","1 - special_foils","0","0","true","","80","jewel","2","1"
"2415","","survey-text","0","66","73307","0-0","0","RSU3","Mon, 09 Nov 2015 05:08:13 GMT","1 - special_foils","0","0","true","{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":""""}","","","",""
